file,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,baseline
PT-TT-SNI-DSC-35-6-9105_m0494,67.85,67.59,61.57,68.38,64.06,68.91,67.06,68.38,67.85,67.85,67.85,67.85,21.49,67.85,67.19,67.85
PT-TT-SNI-DSC-35-6-9105_m0495,69.82,68.73,62.23,69.82,69.68,71.14,71.51,71.4,69.82,69.82,69.82,69.82,20.7,69.82,69.22,69.82
PT-TT-SNI-DSC-35-6-9131_m0536,62.09,63.04,42.55,64.03,62.32,61.92,60.43,63.35,62.09,62.09,62.09,62.09,40.82,62.09,60.22,62.09
PT-TT-SNI-DSC-35-6-9140_m0549,60.22,63.08,47.97,62.22,58.91,60.67,60.22,62.17,60.22,60.22,60.22,60.22,42.7,60.22,60.0,60.22
PT-TT-SNI-DSC-35-6-9140_m0550,54.84,52.46,17.02,59.02,52.63,54.55,52.46,58.06,54.84,54.84,54.84,54.84,32.26,50.91,52.46,54.84
PT-TT-SNI-DSC-35-6-9275_m0721,64.29,58.62,6.45,64.41,0.0,70.18,67.86,58.62,64.29,64.29,64.29,64.29,44.44,52.0,66.67,64.29
PT-TT-SNI-DSC-35-6-9284_m0740,61.29,52.63,0.0,56.67,64.52,60.0,59.02,55.17,61.29,61.29,61.29,61.29,38.6,54.84,58.06,61.29
PT-TT-SNI-DSC-35-6-9373_m0757,48.0,45.45,0.0,58.33,53.06,41.67,44.0,42.55,48.0,48.0,48.0,48.0,32.65,40.0,50.0,48.0
PT-TT-SNI-DSC-35-7-7260_m0002,22.86,21.26,1.72,19.59,22.64,22.86,23.86,25.45,22.86,22.86,22.86,22.86,17.28,22.86,25.41,22.86
PT-TT-SNI-DSC-35-7-7266_m0008,34.09,27.85,0.0,30.93,38.1,42.11,42.86,20.25,34.09,34.09,34.09,34.09,16.47,38.64,32.1,34.09
