file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,adaptive_threshold,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat
PT-TT-SNI-DSC-35-5-4666_m0370,66.03,66.03,72.59,65.86,72.59,71.38,0.17,66.21,69.31,66.03,0.17,72.76,66.03,50.34,72.93,68.28
PT-TT-SNI-DSC-35-5-4683_m0384,74.73,74.73,62.36,49.18,61.81,76.65,0.27,72.8,61.54,74.73,0.0,78.02,74.73,54.4,71.15,64.84
PT-TT-SNI-DSC-35-5-4685_m0386,65.02,65.02,61.73,63.17,68.52,65.64,0.21,66.26,68.52,65.02,0.21,63.79,65.02,44.86,70.37,68.31
PT-TT-SNI-DSC-35-5-4772_m0468,78.54,78.54,81.61,62.07,90.42,54.02,0.38,78.54,54.41,78.54,0.38,90.04,78.54,27.97,90.04,87.74
PT-TT-SNI-DSC-35-5-4852_m0542,32.08,32.08,17.09,14.1,45.04,81.51,0.06,31.83,83.93,32.08,0.06,70.27,32.08,41.99,60.04,81.77
PT-TT-SNI-DSC-35-5-4904_m0592,74.69,74.69,75.19,68.42,64.16,71.43,0.25,74.44,72.68,74.69,0.0,51.63,74.69,29.32,71.43,75.94
PT-TT-SNI-DSC-35-5-4969_m0656,53.97,53.97,46.03,39.68,60.63,68.25,0.32,52.7,58.41,53.97,0.32,55.24,53.97,43.81,71.43,67.94
PT-TT-SNI-DSC-35-5-4995_m0682,62.91,62.91,56.38,48.66,64.99,72.4,0.3,61.72,40.65,62.91,0.3,65.28,62.91,29.67,73.0,77.15
PT-TT-SNI-DSC-35-5-5102_m0773,79.12,79.12,81.99,82.57,82.18,81.23,0.19,79.31,72.03,79.12,0.19,81.03,79.12,64.37,79.69,84.1
PT-TT-SNI-DSC-35-5-5260_m0915,65.96,65.96,63.55,62.05,63.55,62.65,0.3,68.37,50.9,65.96,0.3,62.05,65.96,41.57,66.27,57.83
PT-TT-SNI-DSC-35-5-5355_m0977,72.35,72.35,78.79,74.62,72.6,70.83,0.13,70.83,66.79,72.35,0.13,64.27,72.35,41.54,72.85,73.86
PT-TT-SNI-DSC-35-5-5413_m1037,71.64,71.64,66.18,46.91,69.09,67.64,58.91,69.09,58.91,71.64,0.36,72.73,71.64,58.18,76.36,69.09
PT-TT-SNI-DSC-35-5-5413_m1038,68.73,68.73,65.09,44.73,68.36,67.27,37.82,68.36,60.73,68.73,0.0,69.09,68.73,57.82,60.36,68.36
PT-TT-SNI-DSC-35-5-5438_m1087,73.54,73.54,54.09,47.47,74.32,61.48,12.45,70.43,70.82,73.54,0.39,70.04,73.54,58.37,61.48,62.26
PT-TT-SNI-DSC-35-5-5438_m1088,69.65,69.65,44.36,38.52,57.59,59.92,7.39,67.32,51.36,69.65,0.39,57.98,69.65,32.3,44.75,63.04
PT-TT-SNI-DSC-35-5-5520_m1222,15.36,15.36,39.18,33.23,63.01,66.46,0.31,15.67,51.41,15.36,0.0,71.79,15.36,28.84,75.24,70.22
PT-TT-SNI-DSC-35-5-5520_m1223,68.65,68.65,64.58,71.16,59.56,53.92,0.31,67.4,61.44,68.65,0.31,68.34,68.65,39.5,64.58,67.4
PT-TT-SNI-DSC-35-5-5523_m1228,60.12,60.12,44.86,16.82,63.24,69.16,4.67,59.19,61.68,60.12,0.31,61.99,60.12,45.17,54.52,63.55
PT-TT-SNI-DSC-35-5-5523_m1229,61.06,61.06,57.63,57.94,59.81,67.6,0.31,60.12,54.83,61.06,0.31,70.72,61.06,46.11,58.57,57.94
PT-TT-SNI-DSC-35-5-5574_m1318,65.95,65.95,63.07,44.12,66.67,64.99,3.36,64.51,67.63,65.95,0.0,59.71,65.95,41.49,66.67,66.19
PT-TT-SNI-DSC-35-5-5574_m1319,57.07,57.07,54.2,55.16,59.95,57.79,2.88,54.68,48.44,57.07,0.0,60.91,57.07,30.94,52.28,59.23
PT-TT-SNI-DSC-35-5-5587_m1344,70.86,70.86,24.57,23.14,69.71,61.71,29.14,69.14,58.86,70.86,0.29,68.29,70.86,38.29,64.29,63.43
PT-TT-SNI-DSC-35-5-5587_m1345,66.0,66.0,61.14,57.71,64.86,66.86,2.86,66.57,64.0,66.0,0.29,65.43,66.0,48.29,66.0,62.86
PT-TT-SNI-DSC-35-5-5612_m1394,46.15,46.15,24.32,21.34,44.91,59.06,35.98,45.41,39.95,46.15,0.25,62.28,46.15,43.18,46.15,50.62
PT-TT-SNI-DSC-35-5-5612_m1395,54.34,54.34,62.53,39.95,50.87,55.33,38.71,51.36,36.72,54.34,0.25,54.09,54.34,34.74,53.1,52.36
PT-TT-SNI-DSC-35-5-5640_m1445,53.6,53.6,34.11,24.36,58.24,71.23,43.16,53.13,55.22,53.6,0.23,72.85,53.6,61.25,62.41,65.2
PT-TT-SNI-DSC-35-5-5640_m1446,71.93,71.93,71.69,73.78,74.25,69.61,19.26,70.77,64.04,71.93,0.23,67.05,71.93,35.27,71.69,70.07
PT-TT-SNI-DSC-35-5-5667_m1495,43.94,43.94,28.14,33.12,47.62,72.51,0.22,43.72,78.14,43.94,0.22,66.02,43.94,62.34,54.33,72.73
PT-TT-SNI-DSC-35-5-5745_m1577,82.55,82.55,83.09,54.36,85.23,87.38,55.7,80.54,80.94,82.55,0.13,78.26,82.55,71.01,86.58,85.64
PT-TT-SNI-DSC-35-5-6193_m1988,77.51,77.51,74.25,74.25,75.61,64.77,11.92,75.34,61.52,77.51,0.0,74.8,77.51,52.57,78.59,73.17
