file,baseline,homogeneous_blur,gaussian_blur,median_blur,bilateral_filtering,simple_threshold,otsu_threshold,triangle_threshold,erosion,dilation,opening,closing,morphological_gradient,top_hat,black_hat,adaptive_threshold0,adaptive_threshold1
PT-TT-SNI-DSC-35-5-4852_m0542,22.56,1.04,4.0,1.04,2.05,54.5,8.99,54.35,1.7,0.0,17.68,1.06,4.39,0.0,47.09,0.0,0.0
PT-TT-SNI-DSC-35-5-4904_m0592,58.59,23.81,37.38,30.23,31.07,40.0,49.5,39.66,9.09,0.0,7.69,0.0,4.76,0.0,35.0,0.0,0.0
PT-TT-SNI-DSC-35-5-4969_m0656,32.43,0.0,17.24,0.0,3.77,38.46,27.4,27.5,0.0,0.0,3.39,0.0,0.0,0.0,34.34,0.0,0.0
PT-TT-SNI-DSC-35-5-4995_m0682,45.57,3.57,27.4,10.53,13.33,26.09,32.5,20.29,0.0,0.0,2.67,0.0,0.0,0.0,33.33,0.0,0.0
PT-TT-SNI-DSC-35-5-5102_m0773,50.72,5.63,49.61,12.99,23.76,37.04,54.01,47.24,31.25,0.0,42.42,0.0,25.45,0.0,47.14,0.0,0.0
PT-TT-SNI-DSC-35-5-5260_m0915,40.0,13.56,34.09,10.71,30.0,35.44,36.17,27.4,5.8,0.0,15.58,0.0,6.45,0.0,36.56,0.0,0.0
PT-TT-SNI-DSC-35-5-5355_m0977,49.04,30.67,40.19,24.34,41.24,37.62,43.48,37.62,1.61,0.0,6.25,0.0,0.0,0.0,46.96,0.0,0.0
PT-TT-SNI-DSC-35-5-5413_m1037,46.75,4.08,14.04,4.44,10.53,32.91,39.02,27.03,8.16,0.0,21.62,0.0,8.7,0.0,54.55,0.0,0.0
PT-TT-SNI-DSC-35-5-5413_m1038,47.37,6.9,15.15,14.55,20.9,35.44,27.85,10.96,0.0,0.0,7.02,0.0,0.0,0.0,35.44,0.0,0.0
PT-TT-SNI-DSC-35-5-5438_m1087,40.58,8.7,15.79,14.63,9.3,40.0,34.29,35.48,11.54,0.0,20.69,0.0,0.0,0.0,34.21,0.0,0.0
